date,vehicle_category,manufacturer,registrations
2023-01-01,2W,APOLLO CARMIX EQUIPMENTS PVT LTD,254.0
2023-01-01,2W,APOLLO CONSTRUCTION EQUIPMENTS PVT LTD,95.0
2023-01-01,2W,APSARA ENTERPRISE,1544.0
2023-01-01,2W,APTEC EQUIPMENT PRIVATE LIMITED,121.0
2023-01-01,2W,ARCHIT ENTERPRISES,2251.0
2023-01-01,2W,ARD EXIM,222.0
2023-01-01,2W,ARIN TRACTORS PVT LTD,103.0
2023-01-01,2W,ARMIX CONSTRUCTION MACHINERY PVT LTD,110.0
2023-01-01,2W,ARNA ELECTRIC AUTO PVT LTD,1281.0
2023-01-01,2W,ARROW AUTOMOTIVE,8018.0
2023-01-01,2W,ASHA IMPEX,275.0
2023-01-01,2W,ASHA METAL INDUSTRIES,106.0
2023-01-01,2W,ASHLESHA POWER CONTROLS PVT LTD,117.0
2023-01-01,2W,ASHMA-MOTORS PVT LTD,694.0
2023-01-01,2W,"ASHOK FABRIC & ENGG,RAIRAKHOL",111.0
2023-01-01,2W,ASHOK LEYLAND DEFENCE SYSTEMS LTD,118.0
2023-01-01,2W,ASHOK LEYLAND JOHN DEERE CONST EQUIP COMP PVT LTD,111.0
2023-01-01,2W,ASHOK LEYLAND LTD,337914.0
2023-01-01,2W,ASHOK STEEL INDU,117.0
2023-01-01,2W,ASSAM FABRICATION WORKS,202.0
2023-01-01,2W,ASTON MARTIN LAGONDA LTD,125.0
2023-01-01,2W,ATHER ENERGY LTD,209592.0
2023-01-01,2W,ATLAS AUTO INDUSTRIES,117.0
2023-01-01,2W,ATLAS COPCO INDIA LTD,118.0
2023-01-01,2W,ATOMEX E-MOTORS INDIA PVT LTD,119.0
2023-01-01,2W,ATTOLENT AUTO GROUP PVT LTD,1638.0
2023-01-01,2W,ATUL AUTO LTD,45289.0
2023-01-01,2W,ATUL GREENTECH PRIVATE LIMITED,376.0
2023-01-01,2W,ATUMOBILE PVT LTD,331.0
2023-01-01,2W,ATUT SANGAM,4794.0
2023-01-01,2W,AUDI AG,2899.0
